Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
5,3,Jack Critz,Nebraska: Simpson / Nebraska / Greenville,PB,12.550,4.5,8.050,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.5,1.8,2.1
5,4,Alex Nitache,Nebraska: Simpson / Nebraska / Greenville,PB,13.500,4.5,8.900,,0.1,,,3/7/2026,Simpson / Greenville / Nebraska,4.5,1.0,1.2
6,1,Milo Staley,Simpson: Simpson / Nebraska / Greenville,HB,12.000,3.6,8.300,,0.1,,,3/7/2026,Simpson / Greenville / Nebraska,3.6,1.6,1.8
6,2,Brennan Voss,Simpson: Simpson / Nebraska / Greenville,HB,11.550,3.7,7.850,,,,Y,3/7/2026,Simpson / Greenville / Nebraska,3.7,2.3,2.0
6,3,Jake Sweeten,Simpson: Simpson / Nebraska / Greenville,HB,11.200,3.9,7.400,0.1,,,,3/7/2026,Simpson / Greenville / Nebraska,3.9,2.8,2.4
6,4,Brian Rollison,Simpson: Simpson / Nebraska / Greenville,HB,12.200,4.2,8.000,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.2,2.0,2.0
6,5,Noah Doiron,Simpson: Simpson / Nebraska / Greenville,HB,11.600,3.1,8.500,,,,,3/7/2026,Simpson / Greenville / Nebraska,3.1,1.5,1.5
6,1,Rylan Barnes,Greenville: Simpson / Nebraska / Greenville,HB,11.650,3.6,8.050,,,,,3/7/2026,Simpson / Greenville / Nebraska,3.6,2.0,1.9
6,2,Koby Cantu,Greenville: Simpson / Nebraska / Greenville,HB,10.350,4.3,6.050,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.3,4.2,3.7
6,3,Ryan Barela,Greenville: Simpson / Nebraska / Greenville,HB,12.550,3.9,8.550,,0.1,,,3/7/2026,Simpson / Greenville / Nebraska,3.9,1.4,1.5
6,4,Donovan Diviney,Greenville: Simpson / Nebraska / Greenville,HB,12.500,4.4,8.100,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.4,1.8,2.0
6,1,Anthony Koppie,Nebraska: Simpson / Nebraska / Greenville,HB,13.700,5.0,8.600,,0.1,Y,Y,3/7/2026,Simpson / Greenville / Nebraska,5.0,1.3,1.5
6,2,Grant Bowers,Nebraska: Simpson / Nebraska / Greenville,HB,12.550,4.0,8.550,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.0,1.5,1.4
6,3,Alex Nitache,Nebraska: Simpson / Nebraska / Greenville,HB,13.400,5.0,8.300,,0.1,,,3/7/2026,Simpson / Greenville / Nebraska,5.0,1.8,1.6
6,4,Nik Tarca,Nebraska: Simpson / Nebraska / Greenville,HB,13.050,4.9,8.150,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.9,2.0,1.7
